customer_id,segment,age,risk_score,tenure_months,churn_label
C000184,mass,25,46.14,31,0
C000185,mass,63,29.19,181,0
C000186,mass,48,24.37,142,0
C000187,mass,56,50.82,226,0
C000188,mass,44,33.99,202,1
C000189,mass,36,72.61,215,0
C000190,mass,49,86.53,115,0
C000191,mass,53,76.29,97,0
C000192,mass,30,98.08,62,0
C000193,mass,44,4.36,191,0
C000194,mass,42,38.61,170,0
C000195,affluent,37,49.53,10,0
C000196,mass,39,86.97,224,0
C000197,affluent,57,1.53,37,0
C000198,mass,27,7.48,201,0
C000199,business,50,64.98,219,0
C000200,mass,52,38.0,82,0
C000201,mass,49,87.24,10,0
C000202,mass,61,92.09,59,0
C000203,affluent,34,76.04,181,0
C000204,private,54,90.34,12,0
C000205,mass,40,37.48,38,1
C000206,mass,61,79.25,44,0
C000207,mass,42,61.97,62,0
C000208,mass,32,46.11,66,0
C000209,mass,47,90.12,174,0
C000210,mass,40,98.77,77,1
C000211,mass,34,45.68,78,0
C000212,mass,48,10.67,98,0
C000213,mass,62,29.52,213,0
C000214,affluent,64,86.51,200,0
C000215,affluent,66,74.52,214,1
C000216,business,39,60.71,91,0
C000217,mass,34,67.78,185,0
C000218,affluent,36,62.82,232,0
C000219,mass,46,3.34,94,1
C000220,affluent,46,32.67,107,0
C000221,mass,52,87.65,94,0
C000222,mass,28,25.7,212,0
C000223,business,43,74.66,87,0
C000224,affluent,32,14.08,58,0
C000225,private,60,96.73,206,0
C000226,mass,43,1.39,138,1
C000227,mass,65,67.23,150,0
C000228,mass,41,10.83,60,0
C000229,mass,53,32.8,157,0
C000230,mass,47,90.94,78,1
C000231,mass,20,94.63,78,1
C000232,business,40,88.73,35,0
C000233,mass,65,69.65,139,0
C000234,mass,27,88.54,168,0
C000235,mass,44,93.91,72,0
C000236,mass,46,44.47,61,0
C000237,private,58,54.45,166,0
C000238,mass,30,96.82,218,0
C000239,affluent,41,64.17,153,0
C000240,business,46,24.36,33,1
C000241,affluent,63,20.72,56,0
C000242,affluent,37,78.86,153,0
C000243,mass,27,98.75,139,0
C000244,mass,60,86.64,34,0
C000245,mass,33,58.89,5,0
C000246,mass,65,42.1,30,1
C000247,affluent,51,51.32,28,0
C000248,mass,57,4.34,201,0
C000249,business,44,45.8,8,0
C000250,mass,43,42.63,28,0
C000251,mass,22,89.93,83,0
C000252,mass,35,62.43,150,1
C000253,mass,56,53.06,117,0
C000254,mass,62,11.44,168,0
C000255,affluent,41,43.01,228,0
C000256,mass,47,39.87,187,0
C000257,mass,60,25.49,40,0
C000258,affluent,33,83.18,24,0
C000259,mass,41,81.18,143,0
C000260,mass,53,32.96,32,0
C000261,mass,45,86.81,185,0
C000262,mass,37,35.16,148,0
C000263,mass,48,22.42,28,0
C000264,mass,25,76.26,147,0
C000265,mass,53,97.45,210,0
C000266,mass,53,2.63,238,0
C000267,affluent,29,18.04,180,0
C000268,affluent,50,0.61,223,0
C000269,mass,22,14.19,163,0
C000270,business,58,21.51,108,1
C000271,mass,37,72.16,199,0
C000272,business,28,15.56,194,0
C000273,mass,35,44.31,109,0
C000274,mass,35,21.56,132,0
C000275,mass,36,67.82,152,0
C000276,mass,20,22.05,154,0
C000277,mass,31,76.73,196,0
C000278,mass,18,49.74,111,0
C000279,mass,63,23.01,144,0
C000280,affluent,32,39.71,190,0
C000281,mass,22,86.21,148,1
C000282,mass,58,41.77,30,0
C000283,mass,28,80.13,159,0
C000284,mass,41,8.81,217,0
C000285,mass,43,52.4,102,0
C000286,private,49,33.31,44,0
C000287,mass,51,51.0,232,0
C000288,affluent,69,81.5,61,0
C000289,mass,29,60.24,195,0
C000290,affluent,68,49.41,194,1
C000291,mass,61,92.42,145,0
C000292,mass,38,86.42,161,0
C000293,mass,48,44.22,78,0
C000294,affluent,50,50.73,80,0
C000295,mass,41,83.17,20,1
C000296,mass,23,61.5,130,0
C000297,mass,65,89.59,116,0
C000298,business,37,32.15,122,0
C000299,mass,46,10.35,231,0
C000300,affluent,33,50.45,45,0
C000301,mass,46,52.41,157,0
C000302,mass,36,38.74,199,0
C000303,mass,58,64.73,17,0
C000304,mass,42,28.41,186,0
C000305,private,73,87.33,86,0
C000306,mass,40,31.02,168,0
C000307,affluent,66,70.88,22,0
C000308,mass,39,81.32,172,0
C000309,affluent,61,9.35,172,0
C000310,mass,41,30.89,55,0
C000311,mass,30,22.65,36,0
C000312,mass,24,50.77,139,0
C000313,affluent,30,66.19,225,0
C000314,affluent,52,15.43,47,0
C000315,affluent,38,72.12,12,0
C000316,mass,33,96.96,157,0
C000317,mass,46,23.4,62,0
C000318,mass,48,90.4,50,0
C000319,mass,46,46.17,73,0
C000320,affluent,54,96.63,210,0
C000321,mass,34,5.22,124,0
C000322,private,41,71.14,133,0
C000323,private,45,27.28,232,0
C000324,mass,23,94.64,57,0
C000325,affluent,29,41.49,102,0
C000326,mass,23,37.49,8,0
C000327,mass,63,65.0,203,1
C000328,mass,48,69.61,36,1
C000329,affluent,67,0.53,21,0
C000330,mass,27,54.88,187,0
C000331,mass,36,23.76,32,0
C000332,mass,57,45.71,29,0
C000333,affluent,62,1.64,132,0
C000334,mass,36,42.92,158,0
C000335,mass,29,66.44,22,0
C000336,mass,51,54.41,202,0
C000337,business,49,87.33,12,0
C000338,mass,34,74.73,92,0
C000339,affluent,70,62.83,198,0
C000340,mass,26,4.43,140,0
C000341,mass,61,46.46,179,0
C000342,mass,26,6.31,199,0
C000343,business,37,4.38,52,1
C000344,private,54,51.54,209,0
C000345,mass,59,19.11,92,0
C000346,private,56,27.32,205,1
C000347,mass,65,43.97,99,0
C000348,mass,62,49.75,237,0
C000349,affluent,33,72.71,21,0
C000350,mass,29,54.55,83,0
C000351,mass,36,30.65,155,0
C000352,affluent,56,35.15,11,0
C000353,affluent,67,99.82,71,0
C000354,mass,21,7.5,164,0
C000355,mass,65,67.94,8,0
C000356,mass,46,3.48,18,0
C000357,mass,41,38.29,146,0
C000358,mass,46,94.88,96,0
C000359,mass,26,52.95,102,1
C000360,mass,25,2.59,48,0
C000361,mass,53,11.78,199,0
C000362,mass,57,28.56,235,0
C000363,business,33,85.28,116,0
C000364,mass,23,81.05,217,0
C000365,business,29,55.0,75,0
C000366,private,75,17.41,93,0
C000367,mass,30,79.21,61,0
C000368,affluent,63,57.23,120,1
C000369,affluent,67,88.42,17,0
C000370,mass,64,47.87,106,0
C000371,affluent,32,12.53,82,0
C000372,mass,61,51.74,33,0
C000373,private,75,58.78,197,0
C000374,business,28,83.14,133,0
C000375,mass,38,93.47,58,0
C000376,mass,36,84.59,65,0
C000377,mass,35,12.52,78,0
C000378,mass,59,16.86,149,1
C000379,mass,64,90.2,87,0
C000380,affluent,29,8.12,165,0
C000381,affluent,41,76.7,107,0
C000382,mass,58,54.56,165,1
C000383,business,50,29.74,19,0
C000384,affluent,54,48.43,53,0
C000385,mass,63,31.93,221,0
C000386,mass,41,51.5,28,0
C000387,mass,35,44.96,37,0
C000388,mass,42,86.42,108,0
C000389,mass,28,81.35,240,0
C000390,mass,28,49.83,132,0
C000391,mass,49,2.32,101,0
C000392,mass,31,58.33,13,0
C000393,mass,59,67.25,74,0
C000394,mass,45,13.39,68,0
C000395,affluent,51,4.52,14,0
C000396,mass,53,28.86,99,0
C000397,mass,35,82.53,160,0
C000398,affluent,34,39.39,204,0
C000399,business,48,75.5,51,0
C000400,mass,20,4.53,36,0
C000401,affluent,61,45.7,156,0
C000402,private,74,31.85,101,0
C000403,business,44,59.37,130,0
C000404,affluent,64,29.98,209,0
C000405,mass,25,97.99,150,0
C000406,mass,62,62.93,153,0
C000407,mass,55,57.76,185,0
C000408,mass,51,62.9,159,0
C000409,affluent,43,3.16,180,0
C000410,mass,38,41.88,106,1
C000411,affluent,67,92.05,224,0
C000412,affluent,36,51.87,144,0
C000413,mass,51,37.68,45,0
C000414,mass,52,35.43,198,0
C000415,private,51,61.01,50,0
C000416,business,44,22.49,77,0
C000417,affluent,59,31.7,90,0
C000418,mass,64,27.35,32,0
C000419,mass,43,81.84,198,0
C000420,affluent,46,95.53,21,0
C000421,mass,34,74.73,55,0
C000422,mass,53,69.62,36,0
C000423,mass,33,24.25,172,0
C000424,business,39,5.25,106,0
C000425,mass,61,77.08,2,0
C000426,business,35,40.69,240,0
C000427,private,47,75.59,74,0
C000428,mass,23,65.23,60,0
C000429,mass,20,91.32,45,0
C000430,mass,20,99.72,102,0
C000431,affluent,46,87.67,3,0
C000432,mass,39,28.46,165,0
C000433,mass,26,85.11,120,0
C000434,mass,39,16.25,118,0
C000435,mass,18,73.66,203,0
C000436,mass,30,17.55,220,0
C000437,mass,45,51.53,23,0
C000438,mass,26,47.75,240,1
C000439,mass,33,44.67,69,0
C000440,business,61,1.14,168,0
C000441,mass,60,11.82,79,0
C000442,mass,63,76.98,177,0
C000443,mass,36,36.75,57,0
C000444,mass,27,45.5,156,0
C000445,mass,48,75.74,206,0
C000446,affluent,43,68.03,153,0
C000447,private,63,52.82,93,0
C000448,mass,21,82.88,232,0
C000449,mass,27,16.45,219,0
C000450,mass,31,71.69,126,1
C000451,mass,21,45.34,132,0
C000452,mass,53,46.24,207,0
C000453,mass,34,81.65,191,1
C000454,mass,45,34.45,17,1
C000455,mass,22,98.61,121,1
C000456,mass,26,76.58,187,0
C000457,mass,42,44.85,235,0
C000458,business,59,13.3,221,0
C000459,mass,52,39.31,33,0
C000460,affluent,28,75.62,77,0
C000461,mass,45,53.19,211,0
C000462,mass,27,27.56,240,0
C000463,private,37,80.95,108,0
C000464,mass,19,24.07,18,0
C000465,mass,56,67.2,224,1
C000466,mass,43,43.9,139,0
C000467,mass,21,14.01,75,0
C000468,mass,54,31.89,154,0
C000469,affluent,43,30.18,37,0
C000470,business,51,30.05,16,0
C000471,mass,65,91.16,161,0
C000472,affluent,31,97.23,165,0
C000473,affluent,48,69.63,105,0
C000474,mass,52,47.35,218,0
C000475,mass,27,80.58,235,0
C000476,mass,44,55.73,35,0
C000477,mass,39,64.67,237,0
C000478,mass,52,72.46,49,0
C000479,mass,56,60.29,224,0
C000480,mass,55,72.43,144,0
C000481,mass,39,30.32,233,0
C000482,mass,65,11.73,194,0
C000483,mass,56,70.38,102,0
C000484,business,43,38.07,137,0
C000485,mass,41,51.28,128,0
C000486,mass,64,46.95,215,0
C000487,mass,38,41.39,145,0
C000488,private,36,26.08,240,0
C000489,mass,36,15.24,85,0
C000490,mass,33,49.93,168,0
C000491,business,56,96.65,165,0
C000492,affluent,50,16.93,185,0
C000493,mass,52,99.03,16,0
C000494,mass,22,94.52,172,0
C000495,mass,26,84.25,60,1
C000496,mass,31,50.57,96,0
C000497,mass,57,91.28,169,0
C000498,mass,53,41.13,5,1
C000499,mass,36,1.71,209,0
C000500,affluent,39,10.7,25,0
C000501,mass,57,52.65,209,0
C000502,mass,23,37.31,104,0
C000503,mass,62,22.59,176,0
C000504,affluent,69,75.96,24,0
C000505,mass,48,5.61,3,0
C000506,affluent,55,64.49,85,0
C000507,mass,24,89.48,236,0
C000508,mass,62,88.76,122,0
C000509,mass,61,92.56,231,0
C000510,mass,29,92.88,81,0
C000511,mass,27,75.23,183,0
C000512,affluent,47,16.25,62,0
C000513,mass,61,89.65,85,0
C000514,mass,62,72.42,129,0
C000515,affluent,34,43.71,215,0
C000516,mass,57,95.49,102,0
C000517,business,65,27.33,116,0
C000518,mass,42,43.18,175,0
C000519,mass,57,29.54,64,0
C000520,affluent,37,38.0,201,0
C000521,mass,38,36.07,24,0
C000522,mass,41,76.13,27,0
C000523,mass,46,55.7,132,0
C000524,mass,40,55.42,153,1
C000525,mass,42,1.23,106,0
C000526,mass,53,90.52,63,1
C000527,mass,42,16.95,69,0
C000528,mass,22,16.72,71,0
C000529,mass,22,36.11,64,0
C000530,affluent,67,19.55,28,0
C000531,mass,43,33.22,159,1
C000532,mass,46,33.47,209,0
C000533,affluent,66,13.61,83,0
C000534,mass,48,31.42,102,0
C000535,business,65,49.1,148,0
C000536,affluent,45,81.65,101,0
C000537,mass,30,59.22,140,0
C000538,mass,19,95.3,119,0
C000539,business,43,83.13,18,0
C000540,affluent,54,67.3,36,0
C000541,mass,60,15.41,109,0
C000542,affluent,66,47.92,103,1
C000543,mass,62,41.83,10,0
C000544,affluent,62,59.38,235,0
C000545,mass,60,66.47,43,0
C000546,mass,59,67.75,103,1
C000547,business,52,10.59,26,0
C000548,mass,51,55.8,177,0
C000549,mass,43,46.31,174,0
C000550,mass,40,99.77,124,0
C000551,mass,23,11.61,187,0
C000552,mass,47,78.43,134,0
C000553,mass,46,72.2,116,0
C000554,mass,63,11.51,218,0
C000555,mass,28,92.99,190,1
C000556,mass,28,33.1,110,0
C000557,business,50,62.98,48,0
C000558,mass,19,73.74,227,0
C000559,mass,42,0.45,55,0
C000560,mass,22,57.73,205,0
C000561,private,55,19.71,30,0
C000562,mass,51,96.59,81,0
C000563,mass,55,11.42,91,0
C000564,affluent,47,91.87,152,0
C000565,mass,25,23.86,30,0
C000566,mass,50,38.85,153,0
C000567,mass,29,48.67,138,0
C000568,affluent,39,55.49,126,0
C000569,mass,46,61.94,222,0
C000570,mass,26,19.51,99,1
C000571,business,56,40.91,126,0
C000572,mass,49,16.73,145,0
C000573,mass,36,3.27,58,0
C000574,mass,47,56.57,198,0
C000575,affluent,35,57.27,69,0
C000576,affluent,51,54.2,194,0
C000577,mass,52,21.85,109,0
C000578,mass,33,29.77,9,0
C000579,mass,23,43.91,31,0
C000580,affluent,65,68.91,221,0
C000581,affluent,38,61.62,201,0
C000582,mass,21,57.01,137,0
C000583,mass,38,97.9,75,0
C000584,mass,50,98.55,174,0
C000585,affluent,54,91.88,71,0
C000586,private,43,24.97,183,0
C000587,mass,61,39.27,37,0
C000588,mass,44,37.52,20,0
C000589,mass,23,40.29,192,0
C000590,mass,41,45.47,125,0
C000591,mass,64,9.31,118,1
C000592,mass,22,79.57,102,0
C000593,mass,31,49.47,83,0
C000594,affluent,64,13.06,219,0
C000595,mass,61,76.23,12,0
C000596,mass,47,1.63,238,0
C000597,private,35,99.18,110,0
C000598,mass,26,88.21,78,0
C000599,mass,35,9.33,93,0
C000600,mass,59,16.55,102,0
C000601,mass,32,42.92,24,0
C000602,affluent,58,7.79,152,1
C000603,mass,18,0.81,88,0
C000604,affluent,55,69.4,123,0
C000605,mass,64,80.6,27,0
C000606,mass,26,38.27,209,0
C000607,affluent,37,6.84,145,0
C000608,mass,46,35.12,55,0
C000609,mass,44,61.61,114,0
C000610,private,41,14.0,32,0
C000611,mass,45,31.45,36,0
C000612,mass,33,55.34,154,0
C000613,affluent,29,84.79,169,0
C000614,private,73,50.95,192,0
C000615,mass,33,49.49,29,0
C000616,mass,22,52.83,4,0
C000617,business,33,38.68,215,0
C000618,mass,61,17.28,121,0
C000619,business,26,58.74,4,0
C000620,mass,21,94.87,102,1
C000621,mass,50,76.71,109,0
C000622,affluent,62,53.77,40,0
C000623,mass,50,92.09,207,0
C000624,mass,55,63.43,214,0
C000625,mass,37,69.87,187,0
C000626,business,40,8.62,112,0
C000627,mass,21,30.93,190,0
C000628,affluent,28,70.79,180,0
C000629,mass,40,52.3,201,0
C000630,affluent,51,12.69,200,0
C000631,private,42,77.14,8,0
C000632,mass,51,6.39,183,0
C000633,business,56,45.52,93,0
C000634,mass,28,36.77,66,0
C000635,affluent,35,22.84,131,0
C000636,mass,18,24.46,121,0
C000637,mass,29,93.12,220,0
C000638,mass,63,74.07,108,0
C000639,mass,64,31.99,212,0
C000640,mass,50,67.33,14,0
C000641,mass,20,95.41,18,0
C000642,private,54,32.73,142,0
C000643,mass,36,56.38,78,0
C000644,affluent,51,59.17,127,0
C000645,business,59,76.05,63,0
C000646,mass,19,23.3,89,0
C000647,mass,18,95.1,1,0
C000648,affluent,47,10.39,136,0
C000649,business,28,97.26,37,0
C000650,affluent,42,89.73,134,0
C000651,mass,47,97.46,22,0
C000652,mass,58,82.0,20,0
C000653,mass,60,96.42,61,1
C000654,mass,43,70.07,189,0
C000655,mass,32,7.47,52,0
C000656,mass,24,15.54,43,0
C000657,mass,25,53.59,198,0
C000658,mass,34,85.25,24,0
C000659,mass,63,69.69,11,0
C000660,mass,27,9.12,64,0
C000661,business,28,67.72,67,0
C000662,affluent,53,85.46,143,0
C000663,affluent,57,10.19,204,0
C000664,mass,32,13.07,211,1
C000665,mass,59,8.4,151,0
C000666,mass,19,99.72,51,0
C000667,business,33,9.2,217,0
C000668,affluent,30,94.23,13,0
C000669,mass,64,39.5,8,0
C000670,mass,40,21.47,48,0
C000671,mass,27,3.46,159,0
C000672,mass,49,41.2,141,0
C000673,mass,42,13.72,52,1
C000674,mass,33,63.08,206,0
C000675,mass,42,78.19,92,1
C000676,mass,40,91.27,129,0
C000677,mass,19,31.89,57,0
C000678,mass,35,5.86,121,0
C000679,mass,32,97.4,26,0
C000680,mass,52,81.63,235,0
C000681,affluent,42,57.57,205,0
C000682,mass,29,17.61,152,0
C000683,mass,40,91.4,8,0
C000684,affluent,64,56.36,145,0
C000685,business,56,54.21,45,0
C000686,mass,32,60.17,6,1
C000687,mass,57,20.15,34,1
C000688,mass,38,5.96,38,0
C000689,mass,25,84.65,221,0
C000690,mass,63,94.19,102,1
C000691,mass,38,13.65,41,0
C000692,affluent,68,96.07,167,0
C000693,mass,53,69.36,238,0
C000694,mass,60,58.9,45,0
C000695,mass,36,12.73,187,0
C000696,mass,54,39.16,198,0
C000697,business,63,31.82,208,1
C000698,business,61,10.41,128,0
C000699,mass,33,34.68,82,0
C000700,mass,23,82.17,172,0
C000701,mass,46,1.14,54,0
C000702,mass,34,78.7,185,1
C000703,mass,64,41.97,43,0
C000704,private,59,35.12,97,0
C000705,mass,54,65.1,176,0
C000706,mass,20,29.49,82,0
C000707,mass,39,17.01,97,1
C000708,mass,23,33.8,158,1
C000709,private,62,94.24,43,0
C000710,mass,21,10.13,53,0
C000711,business,60,72.2,187,0
C000712,mass,37,23.75,13,0
C000713,mass,49,15.36,93,0
C000714,mass,60,62.51,123,1
C000715,mass,28,63.82,21,1
C000716,mass,43,47.09,230,1
C000717,affluent,62,38.75,95,0
C000718,private,63,4.46,113,0
C000719,mass,35,56.42,39,0
C000720,affluent,33,66.81,207,0
C000721,mass,55,22.75,16,0
C000722,affluent,54,96.56,176,0
C000723,private,50,47.63,21,0
C000724,mass,20,50.21,231,0
C000725,mass,57,14.74,194,0
C000726,mass,28,97.22,207,0
C000727,mass,23,98.83,112,1
C000728,mass,27,83.41,67,0
C000729,mass,22,8.7,143,0
C000730,mass,35,51.97,235,0
C000731,private,74,58.76,201,0
C000732,mass,27,56.66,150,0
C000733,affluent,34,56.27,26,0
C000734,affluent,50,87.79,68,0
C000735,mass,56,47.3,45,0
C000736,mass,56,68.08,103,0
C000737,mass,39,69.05,13,0
C000738,affluent,51,2.02,210,0
C000739,affluent,59,85.82,176,0
C000740,mass,26,30.05,191,0
C000741,mass,35,72.88,155,0
C000742,mass,31,91.34,105,0
C000743,affluent,51,82.1,132,0
C000744,affluent,60,40.34,200,1
C000745,private,36,17.37,225,0
C000746,affluent,43,3.31,13,0
C000747,business,42,36.84,119,0
C000748,mass,25,68.12,62,0
C000749,mass,29,96.05,122,0
C000750,mass,28,83.77,67,0
C000751,affluent,46,2.75,13,0
C000752,mass,31,85.71,166,0
C000753,mass,59,40.95,6,0
C000754,private,35,47.41,34,0
C000755,mass,18,22.38,156,0
C000756,affluent,69,27.54,230,0
C000757,mass,34,21.82,78,0
C000758,affluent,53,58.45,2,0
C000759,mass,41,56.15,153,0
C000760,mass,24,48.17,87,0
C000761,business,42,26.11,183,0
C000762,business,37,14.99,196,0
C000763,mass,56,40.41,82,1
C000764,affluent,69,49.74,76,0
C000765,mass,42,73.67,150,0
C000766,affluent,40,34.32,183,0
C000767,mass,48,90.65,172,0
C000768,mass,28,84.06,225,0
C000769,mass,48,12.79,67,0
C000770,affluent,39,94.69,231,0
C000771,mass,40,22.33,224,1
C000772,mass,39,37.17,150,0
C000773,mass,48,5.37,163,0
C000774,mass,22,47.22,50,0
C000775,mass,42,52.98,106,0
C000776,mass,26,99.23,88,0
C000777,mass,47,14.32,221,0
C000778,affluent,59,33.26,46,0
C000779,mass,46,27.35,195,1
C000780,affluent,38,48.96,196,0
C000781,affluent,55,63.35,104,0
C000782,mass,18,3.77,52,0
C000783,affluent,48,75.68,136,0
C000784,mass,58,73.36,58,0
C000785,affluent,36,10.27,129,0
C000786,mass,20,29.82,75,0
C000787,mass,51,33.78,228,0
C000788,affluent,59,35.93,49,0
C000789,mass,43,1.91,58,0
C000790,affluent,29,58.97,44,0
C000791,mass,20,37.52,164,0
C000792,mass,21,59.39,13,0
C000793,affluent,29,4.82,30,0
C000794,mass,53,25.27,180,0
C000795,mass,58,0.93,108,0
C000796,affluent,45,62.28,180,0
C000797,mass,24,51.16,159,0
C000798,mass,24,49.77,156,1
C000799,mass,51,97.31,92,0
C000800,affluent,30,54.81,234,0
C000801,mass,39,23.45,4,0
C000802,affluent,64,66.9,39,0
C000803,business,29,72.36,26,0
C000804,business,54,98.87,76,0
C000805,mass,29,87.41,219,1
C000806,mass,38,42.6,30,0
C000807,mass,20,0.97,36,0
C000808,affluent,50,89.45,160,0
C000809,mass,41,81.5,47,0
C000810,mass,47,27.18,99,0
C000811,affluent,54,64.88,205,0
C000812,mass,64,5.86,217,0
C000813,mass,55,48.27,146,0
C000814,affluent,52,77.92,157,0
C000815,mass,64,97.34,34,0
C000816,mass,44,44.07,17,0
C000817,mass,63,86.83,135,0
